date,unemployment,unemployment_yoy_change
1982-03-01,9.0,21.62162162162162
1982-04-01,9.3,29.166666666666675
1982-05-01,9.4,25.333333333333343
1982-06-01,9.6,28.000000000000004
1982-07-01,9.8,36.111111111111114
1982-08-01,9.8,32.432432432432435
1982-09-01,10.1,32.89473684210527
1982-10-01,10.4,31.645569620253156
1982-11-01,10.8,30.12048192771084
1982-12-01,10.8,27.05882352941178
1983-01-01,10.4,20.93023255813955
1983-02-01,10.4,16.85393258426966
1983-03-01,10.3,14.44444444444446
1983-04-01,10.2,9.677419354838701
1983-05-01,10.1,7.446808510638281
1983-06-01,10.1,5.208333333333326
1983-07-01,9.4,-4.081632653061229
1983-08-01,9.5,-3.0612244897959218
1983-09-01,9.2,-8.910891089108919
1983-10-01,8.8,-15.384615384615385
1983-11-01,8.5,-21.2962962962963
1983-12-01,8.3,-23.148148148148152
1984-01-01,8.0,-23.076923076923084
1984-02-01,7.8,-25.0
1984-03-01,7.8,-24.271844660194187
1984-04-01,7.7,-24.50980392156862
1984-05-01,7.4,-26.732673267326724
1984-06-01,7.2,-28.712871287128706
1984-07-01,7.5,-20.21276595744681
1984-08-01,7.5,-21.052631578947366
1984-09-01,7.3,-20.65217391304347
1984-10-01,7.4,-15.909090909090917
1984-11-01,7.2,-15.294117647058824
1984-12-01,7.3,-12.048192771084343
1985-01-01,7.3,-8.750000000000002
1985-02-01,7.2,-7.692307692307687
1985-03-01,7.2,-7.692307692307687
1985-04-01,7.3,-5.1948051948051965
1985-05-01,7.2,-2.7027027027027084
1985-06-01,7.4,2.77777777777779
1985-07-01,7.4,-1.3333333333333308
1985-08-01,7.1,-5.333333333333334
1985-09-01,7.1,-2.73972602739726
1985-10-01,7.1,-4.054054054054069
1985-11-01,7.0,-2.777777777777779
1985-12-01,7.0,-4.109589041095885
1986-01-01,6.7,-8.21917808219178
1986-02-01,7.2,0.0
1986-03-01,7.2,0.0
1986-04-01,7.1,-2.73972602739726
1986-05-01,7.2,0.0
1986-06-01,7.2,-2.7027027027027084
1986-07-01,7.0,-5.405405405405405
1986-08-01,6.9,-2.8169014084506894
1986-09-01,7.0,-1.4084507042253502
1986-10-01,7.0,-1.4084507042253502
1986-11-01,6.9,-1.4285714285714235
1986-12-01,6.6,-5.714285714285716
1987-01-01,6.6,-1.4925373134328401
1987-02-01,6.6,-8.333333333333337
1987-03-01,6.6,-8.333333333333337
1987-04-01,6.3,-11.267605633802813
1987-05-01,6.3,-12.5
1987-06-01,6.2,-13.888888888888884
1987-07-01,6.1,-12.857142857142867
1987-08-01,6.0,-13.043478260869568
1987-09-01,5.9,-15.714285714285714
1987-10-01,6.0,-14.28571428571429
1987-11-01,5.8,-15.94202898550725
1987-12-01,5.7,-13.636363636363624
1988-01-01,5.7,-13.636363636363624
1988-02-01,5.7,-13.636363636363624
1988-03-01,5.7,-13.636363636363624
1988-04-01,5.4,-14.28571428571428
1988-05-01,5.6,-11.111111111111116
1988-06-01,5.4,-12.903225806451612
1988-07-01,5.4,-11.475409836065564
1988-08-01,5.6,-6.666666666666677
1988-09-01,5.4,-8.47457627118644
