date,ppi,ppi_yoy_change
1928-07-01,16.8,3.70370370370372
1928-08-01,16.8,2.4390243902439046
1928-09-01,17.0,2.409638554216853
1928-10-01,16.7,0.0
1928-11-01,16.5,-0.6024096385542244
1928-12-01,16.5,-0.6024096385542244
1929-01-01,16.5,-0.6024096385542244
1929-02-01,16.4,-0.60606060606061
1929-03-01,16.6,0.60606060606061
1929-04-01,16.5,-1.19760479041916
1929-05-01,16.3,-2.9761904761904767
1929-06-01,16.4,-1.7964071856287456
1929-07-01,16.6,-1.1904761904761862
1929-08-01,16.6,-1.1904761904761862
1929-09-01,16.6,-2.35294117647058
1929-10-01,16.4,-1.7964071856287456
1929-11-01,16.1,-2.4242424242424176
1929-12-01,16.1,-2.4242424242424176
1930-01-01,15.9,-3.6363636363636376
1930-02-01,15.7,-4.2682926829268215
1930-03-01,15.5,-6.62650602409639
1930-04-01,15.5,-6.060606060606055
1930-05-01,15.3,-6.134969325153373
1930-06-01,15.0,-8.536585365853655
1930-07-01,14.5,-12.650602409638568
1930-08-01,14.5,-12.650602409638568
1930-09-01,14.5,-12.650602409638568
1930-10-01,14.3,-12.804878048780477
1930-11-01,14.0,-13.043478260869568
1930-12-01,13.7,-14.906832298136663
1931-01-01,13.5,-15.094339622641506
1931-02-01,13.2,-15.923566878980889
1931-03-01,13.1,-15.483870967741941
1931-04-01,12.9,-16.774193548387096
1931-05-01,12.6,-17.647058823529417
1931-06-01,12.4,-17.333333333333336
1931-07-01,12.4,-14.482758620689651
1931-08-01,12.4,-14.482758620689651
1931-09-01,12.3,-15.172413793103445
1931-10-01,12.1,-15.384615384615397
1931-11-01,12.1,-13.571428571428578
1931-12-01,11.8,-13.868613138686126
1932-01-01,11.6,-14.074074074074073
1932-02-01,11.4,-13.636363636363624
1932-03-01,11.4,-12.977099236641221
1932-04-01,11.3,-12.4031007751938
1932-05-01,11.1,-11.904761904761907
1932-06-01,11.0,-11.290322580645162
1932-07-01,11.1,-10.483870967741938
1932-08-01,11.2,-9.677419354838722
1932-09-01,11.3,-8.130081300813007
1932-10-01,11.1,-8.264462809917362
1932-11-01,11.0,-9.090909090909083
1932-12-01,10.8,-8.47457627118644
1933-01-01,10.5,-9.482758620689658
1933-02-01,10.3,-9.649122807017541
1933-03-01,10.4,-8.771929824561408
